Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Artificial Intelligence & Machine Learning Data Scientist,35 k € - 40 k € (Esti. de Glassdoor),"Artificial Intelligence & Machine Learning Data Scientist
Clamart - France

Job Title:
Artificial Intelligence & Machine Learning Data Scientist

Location:",3.8,"Schlumberger
3.8",Clamart,Plus de 10 000 employés,1926,Entreprise cotée en bourse,Services pétroliers et gaziers,"Pétrole, gaz, énergie et services publics",Plus de 10 milliards de dollars US
Senior Data Scientist,35 k € - 40 k € (Esti. de Glassdoor),"Contrat
CDI
Localisation
Paris La Villette
Référence
R-24282
Catégorie
Bureaux",3.9,"Club Med
3.5",La Villette,Plus de 10 000 employés,1950,Entreprise cotée en bourse,"Hôtels, motels et stations de tourisme",Voyages et tourisme,Entre 1 et 2 milliards de dollars US
Data Scientist (H/F),35 k € - 40 k € (Esti. de Glassdoor),"Position Description:
Vous cherchez à intervenir pour des sociétés Data Driven, vous êtes intéressé par l’intelligence artificiel, le Big Data, les approches Cloud, en étant impliqué dans les problématiques métiers et cas d’usages.
Your future duties and responsibilities:
Venez rejoindre nos équipes autour des projets d’IA. Vos interventions consisteront à :

Comprendre le contexte fonctionnel et les enjeux du client

Vous aurez en charge l’écriture des designs, le codage, les tests techniques et fonctionnels ainsi que l’accompagnement des utilisateurs dans la compréhension des solutions mises en place.

Accompagné et entouré par une communauté Data, vous pouvez échanger, partager et vous former selon vos inspirations et votre créativité. Cela vous permet d’être force de proposition en interne et auprès de nos clients.
La proximité, le suivi personnalisé de votre manager et un bon nombre d’événements tout au long de l'année renforcent la convivialité et notre esprit d'équipe !",3.3,"CGI Inc
3.3",Clermont-Ferrand,Plus de 10 000 employés,1976,Entreprise cotée en bourse,Conseils,Services aux entreprises,Plus de 10 milliards de dollars US
Data Scientist - Énergies Renouvelables,35 k € - 40 k € (Esti. de Glassdoor),"MP DATA est une société d'experts dans la Data qui accompagne ses clients industriels sur des projets d'IA ambitieux et innovants.
MP DATA, recrute un(e) Data Scientist (H/F) pour travailler pour ses clients dans le secteur des énergies renouvelables.
A ce titre, vos missions seront les suivantes :
- Manager les différents flux de données
- Développer des algorithmes de machine learning en Python
- Suivre et améliorer la performance de vos modèles",-1,MP DATA,Boulogne-Billancourt,-1,-1,-1,-1,-1,-1
DATA SCIENTIST,35 k € - 40 k € (Esti. de Glassdoor),"Date: 1 févr. 2022
Lieu: Venette, France
Entreprise: Plastic Omnium
Missions:
Contribute to the development of the Digital Manufacturing tools to improve the operational performance of the Plastic Omnium’s manufacturing plants.
Develop new digital solutions to improve the quality of the manufactured parts (fuel tanks). These digital solutions leverages the large amount of data collected in the manufacturing plants as well as the Machine Learning technology to improve the quality control and the performance of the production process.",3.7,"Plastic Omnium
3.7",Venette,Plus de 10 000 employés,1946,Entreprise cotée en bourse,Fabrication d''équipement de transport,Fabrication,Entre 5 et 10 milliards de dollars US
Data Scientist Recommendation Systems Confirmed,35 k € - 40 k € (Esti. de Glassdoor),"Our Mission
At Prose, we don’t believe in “one-size-fits-most.” We create custom hair care that’s inclusive to all hair types, needs and preferences. Each of our hair care products is customized to a person’s hair needs based on the results from an online consultation. The individual data is processed through a proprietary algorithm and made-to-order in the Prose lab using natural active ingredients. Marrying emerging technologies with the best in beauty, Prose is truly creating something special.
This is the opportunity to join a fast-growing startup and an energetic team that works together to deliver creative solutions that are transforming the way people think about and shop for hair care. We’re looking for talented problem solvers who lead with passion and who face any task with a positive mindset.",2.5,"PERSÉ BEAUTY
2.5",Paris,De 1 à 50 employés,2017,Franchise,"Santé, beauté et remise en forme",Services aux consommateurs,Ne sait pas / non applicable
Data Scientist - Documents Analysis,35 k € - 40 k € (Esti. de Glassdoor),"At Shift Technology, we're transforming insurance with AI. We help insurers fully automate more claims, deliver a great customer experience while protecting against risk and accurately identifying suspected fraud, making internal teams more effective and improving financial performance.
Since our launch in 2014 in Paris, we've raised over $320M with Tier 1 investors, opened offices in Boston, Tokyo, Singapore, London, Madrid, Mexico, Hong-Kong, and Sao Paulo, and currently work with more than 80 of the world's leading insurers. If you are excited about joining a fast-growing insurtech innovator with a passion for excellence and global culture, Shift is the place for you.",4.2,"Shift Technology
4.2",Paris,Entre 201 et 500 employés,2014,Entreprise non cotée en bourse,Solutions logicielles et réseau d''entreprise,Informatique,Ne sait pas / non applicable
Senior Data Analyst,35 k € - 40 k € (Esti. de Glassdoor),"Your role @ Chanel
Chanel.com is the global CHANEL website for all Divisions and Regions, deployed in 60 markets. Fully redesigned and reengineered since 2016 by a team of 200 people in France and India. Visited over 1 billion times, its reason for being is to offer customers an experience, to tell stories creating desirability, to create a sense of exclusivity which enhance the image of the Brand. Chanel.com offers a rich range of online and omni-channel services, providing extended personalization capabilities, showcasing several collections and product categories, while ensuring brand consistency, seamless client journeys and presenting key values and principles of the brand and the company. It has generated 200+ million dollars in direct sales and much more, including countless indirect sales in boutiques.
In 2016, IPT’s team mission statement was to Today, Chanel.com is fully “in class” and becoming best in class by performing well on fundamentals, and by differentiating product presentations, enriching connected services, and providing unique content.",3.9,"Chanel
3.9",Neuilly,Plus de 10 000 employés,1924,Entreprise non cotée en bourse,"Magasins de chaussures, de vêtements et grands magasins",Vente au détail,Plus de 10 milliards de dollars US
Data Scientist M/F,35 k € - 40 k € (Esti. de Glassdoor),"Sanofi Vitry-sur-Seine est l’un des sites les plus innovants du Groupe, avec plus de 2 000 collaborateurs.
Doté d’un outil de production ultramoderne, le Biolaunch, le site maitrise à la fois les activités de recherche, de développement et de fabrication de produits de biotechnologies.
Les pathologies que nous traitons ? Le cancer, les maladies neurodégénératives et les maladies cardiovasculaires.
Le contenu du poste est libellé en anglais car il nécessite de nombreuses interactions avec nos filiales à l’international, l'anglais étant la langue de travail.",4.1,"Sanofi
3.9",Vitry,Plus de 10 000 employés,1973,Entreprise cotée en bourse,Biotechnologies et pharmaceutique,Biotechnologies et pharmaceutique,Plus de 10 milliards de dollars US
Data Analyste Senior (F/H),35 k € - 40 k € (Esti. de Glassdoor),"Rattaché(e) à notre agence de Toulouse, tu piloteras la nouvelle cellule BI du Groupe en collaboration avec un ROA (Responsable Opérationnel d’Agence). Tu encadreras une équipe de 3 personnes et seras le point focal pour nos clients. Tu animeras et contribueras à des missions de conseil & production de projets de datavisualisation sur les socles technologique Qlik Sense, Power BI et Dataiku au minimum

Typologie des missions types :
Assurer l’aide aux choix d’outils de nos clients, cadrage des besoins, analyses SWOT, Proof Of Concept, refonte / migration ou développement de tableaux de bord, mise en place de Dashboard Factory…
Analyser les besoins et proposer une architecture technique adaptée aux cas d’usage du client.

Tu es issu(e) d'une formation supérieure de niveau bac +5 sur un cursus Big Data ou Dataviz.
Tu as déjà conduit des projets complexes impliquant des interlocuteurs “Métier” et “Technique”.
Tu as acquis une expérience de 5 ans minimum auprès de grands comptes.


La connaissance d'un langage de programmation type Python serait un plus.
Tu sais t'exprimer en anglais couramment, aussi bien à l'écrit qu'à l'oral, dans le cadre d'une utilisation fréquente.",4.3,"INSIDE Group
4.3",Toulouse,Entre 201 et 500 employés,2012,Entreprise non cotée en bourse,Conseils,Services aux entreprises,Entre 5 et 10 millions de dollars US
Data Analyst (H/F),35 k € - 40 k € (Esti. de Glassdoor),"Position Description:
Vous cherchez à intervenir pour des sociétés Data Driven, vous êtes intéressé par la Business Intelligence, le Big Data, les approches Cloud, en étant impliqué dans les problématiques métiers et cas d’usages.
Vous avez envie de relever des challenges sur de la conception et de l’analyse de données sur des applications Big Data ou Cloud et dans des contextes Agile et innovants.
Your future duties and responsibilities:
Venez rejoindre nos équipes de Data Analyst. Vos interventions consisteront à recueillir les besoins des utilisateurs et les challenger si nécessaire.

Vous aurez en charge l’écriture des designs à destination de l’équipe de IS, les tests fonctionnels ainsi que la formation et l’accompagnement des utilisateurs.

Au sein de la communauté Data, vous êtes accompagné et pouvez échanger, partager et vous former selon vos inspirations et votre créativité. Cela vous permet d’être force de proposition en interne et auprès de nos clients.
La proximité, le suivi personnalisé de votre manager et un bon nombre d’événements tout au long de l'année renforcent la convivialité et notre esprit d'équipe !",3.3,"CGI Inc
3.3",Clermont-Ferrand,Plus de 10 000 employés,1976,Entreprise cotée en bourse,Conseils,Services aux entreprises,Plus de 10 milliards de dollars US
Data Scientist,35 k € - 40 k € (Esti. de Glassdoor),"With over 5 million active users and an impressive 5,000 new customers joining every day, Lydia aims to become one of Europe’s leading financial services organisations. Founded in 2013, Lydia has been recognised as one of France’s most promising start-ups through its recent inclusion into the ""Next 40"" ranking.
After raising €112 million from investors in 2020, we have plans to accelerate our European deployment while continuing to offer additional innovative solutions. From top-security contactless mobile payment to a wide array of app-based services, Lydia puts people at the centre of the digital banking experience.

As part of the data-team, you will be in charge of creating, improving and maintaining services for end-users (Lydia's users or teammates) based on data manipulation and machine learning.",3.8,"Lydia Solutions
3.8",Paris,De 1 à 50 employés,Entreprise non cotée en bourse,Ne sait pas / non applicable,-1,-1,-1
Data Scientist | CDI (H/F),35 k € - 40 k € (Esti. de Glassdoor),"PeopleSpheres est une start-up qui édite le premier socle SIRH en PaaS (Plateforme As A Service) depuis 2014. Les professionnels des ressources humaines construisent leur propre SIRH sur-mesure : ils choisissent les meilleures briques logicielles du marché afin de les connecter à notre plateforme.
Quel avantage pour le client ? Toutes les données des collaborateurs sont centralisées sur le socle RH, et permettent ainsi de créer des workflows, des reportings et des requêtes inter-outils.
Disponible sur web et mobile, cette plateforme offre donc une interface collaborateur, manager et RH unique, avec de nombreuses possibilités d’interopérabilité.",4.6,"PeopleSpheres
4.6",Paris,De 51 à 200 employés,2015,Entreprise non cotée en bourse,Solutions logicielles et réseau d''entreprise,Informatique,Entre 1 et 5 millions de dollars US
Data Scientist Reinforcement Learning (F/M/X) - CDI,35 k € - 40 k € (Esti. de Glassdoor),"Jellysmack is the global creator company that detects and develops the world's most talented video creators on social media. We're an optimistic crew who naturally goes the extra mile, has a glass-half-full mindset, and sees challenges as opportunities. We look for positive people who think outside the box, are inventive, bold, lead change, and believe that teamwork matters.
Team culture:
Our job is to take numbers and turn them into reasons to celebrate! Data drives everything we do at Jellysmack and is thus essential to the company. Data is at the heart of our success, and it drives the content we create and how we edit videos so we can optimize everything we publish. Everyone on our team is capable of going above and beyond the call of duty. Our goal is to gather and analyze data to help the company grow. Do you have what it takes to be part of our team?",4.1,"Jellysmack
4.1",France,De 501 à 1 000 employés,2016,Entreprise non cotée en bourse,Internet,Informatique,Ne sait pas / non applicable
Data Scientist Deep Learning (F/M/X) - CDI,35 k € - 40 k € (Esti. de Glassdoor),"Jellysmack is the global creator company that detects and develops the world's most talented video creators on social media. We're an optimistic crew who naturally goes the extra mile, has a glass-half-full mindset, and sees challenges as opportunities. We look for positive people who think outside the box, are inventive, bold, lead change, and believe that teamwork matters.
Team culture:
Our job is to take numbers and turn them into reasons to celebrate! Data drives everything we do at Jellysmack and is thus essential to the company. Data is at the heart of our success, and it drives the content we create and how we edit videos so we can optimize everything we publish. Everyone on our team is capable of going above and beyond the call of duty. Our goal is to gather and analyze data to help the company grow. Do you have what it takes to be part of our team?",4.1,"Jellysmack
4.1",France,De 501 à 1 000 employés,2016,Entreprise non cotée en bourse,Internet,Informatique,Ne sait pas / non applicable
Data Scientist Computer Vision (F/M/X) - CDI,35 k € - 40 k € (Esti. de Glassdoor),"Jellysmack is the global creator company that detects and develops the world's most talented video creators on social media. We're an optimistic crew who naturally goes the extra mile, has a glass-half-full mindset, and sees challenges as opportunities. We look for positive people who think outside the box, are inventive, bold, lead change, and believe that teamwork matters.
Team culture:
Our job is to take numbers and turn them into reasons to celebrate! Data drives everything we do at Jellysmack and is thus essential to the company. Data is at the heart of our success, and it drives the content we create and how we edit videos so we can optimize everything we publish. Everyone on our team is capable of going above and beyond the call of duty. Our goal is to gather and analyze data to help the company grow. Do you have what it takes to be part of our team?",4.1,"Jellysmack
4.1",France,De 501 à 1 000 employés,2016,Entreprise non cotée en bourse,Internet,Informatique,Ne sait pas / non applicable
#AGGP – Graduate Data Science & Intelligence Engineer (M/F),35 k € - 40 k € (Esti. de Glassdoor),"Job Description:
Start date October 3rd 2022
Every year we look for university graduates from around the world to join Airbus. We need people with the aspiration, enthusiasm and the talent to help us move forward and to change the world and deliver our vision to pioneer sustainable aerospace for a safe and united world.
When you begin your career with us, we accelerate your development through our Airbus Global Graduate Experience. You are part of a 2 year programme where you develop your professional skills, build your networks, locally and internationally, and gain a unique perspective on the world of Airbus. You are part of a global community, so we bring you together once a year for a global graduate conference where you meet your peers, hear from our leaders and learn from the best.
We are hiring the graduates as we need to fill the critical roles for our future.

AIRBUS SAS
Permanent Contract / CDI / Unbefristet / Contrato indefinido
Entry Level / Débutant / Anfänger / Recién titulado
Information Mgmt and Digital Technology <JF-IM-DI>",4.1,"Airbus
4.1",Toulouse,Plus de 10 000 employés,1970,Entreprise cotée en bourse,Aérospatiale et Défense,Aérospatiale et Défense,Plus de 10 milliards de dollars US
DATA SCIENTIST (F/H),35 k € - 40 k € (Esti. de Glassdoor),"Carnet de route
Datascientist depuis au moins 4 ans, vous êtes à la recherche de nouveaux défis. Bouclez votre ceinture, la suite est pour vous !
Vous interviendrez au sein d’équipes pluridisciplinaires et expérimentées afin de transformer la donnée brute en information ! Innovation et pragmatisme vous permettront de franchir toutes les étapes des projets que nous menons tels que :
Text mining : analyse d’historique de la maladie des patients pour évaluer la durée de séjour à l’hôpital
Marketing opérationnel : analyses à des fins d’amélioration de la connaissance client et d’optimisation de parcours clients, de segmentation d’offre, de prédictions de comportement pour un groupe de médias",4.4,"Novencia
4.4",Lyon,Entre 201 et 500 employés,2000,Entreprise non cotée en bourse,Services d''architecture et d''ingénierie,Services aux entreprises,Entre 25 et 50 millions de dollars US
Data Analyst / Freelance,35 k € - 40 k € (Esti. de Glassdoor),Vous interviendrez sous le contrôle d'un architecte programme et d'un architecte Data et sur les points suivants : Proposer / challenger la solution de modélisation en fonction de la spécification métier Valider les spécifications fonctionnelles et rédiger les spécifications techniques Réaliser la modélisation au sein de la plateforme de Master Data Management Effectuer les paramétrages nécessaires au sein de la plateforme de Master Data Management Mettre en place la sécurité et de la gouvernance pour assurer la sécurité et la qualité des données Réaliser les phases de Factory Acceptance Testing (FAT) et accompagner les phases User Acceptance Test (UAT) Assister et valider les phases de delivery des solutions.,-1,PAG Synvance,Clermont-Ferrand,-1,-1,-1,-1,-1,-1
Mission Data Analyst - QlikSense / Freelance,35 k € - 40 k € (Esti. de Glassdoor),"Le Data Analyst devra créer, administrer et modéliser la base de données et s'assurer d'une mise à jour régulière pour en faciliter l'exploitation par les équipes métiers. En effet, vous jouerez un rôle clé car vous serez amené à travailler avec l'ensemble équipes (internes et externes) Offre, Marketing, Finance, MOA et de la Direction. Vos misisons: Elaborer dans une démarche industrielle (conception / réalisation / validation / documentation) les tableaux de bord / outils / reportings / indicateurs / KPI pour répondre aux besoins de nos clients (internes et externes) et partenaires, en vue : - du pilotage de leur activité ou des programmes d'assurance - d'aider aux prises de décisions opérationnelles ou stratégiques de l'entreprise - de donner de la visibilité en interne sur les activités front et back office Produire des analyses métiers et des recommandations aux managers sur la base des tableaux de bord et reportings créés. Enrichir l'expérience client et l'offre de services data par des éléments analytiques et visuels grâce à votre expertise autour de l'exploitation et de la valorisation de la data, et ce conjointement avec les équipes métiers et la DSI groupe.

Maintenir et faire évoluer l'ensemble de l'offre de service data notamment au regard des évolutions des programmes d'assurance et de toute autre évolution impactant nos clients et partenaires. Emettre d'éventuelles recommandations. Travailler en collaboration étroite avec les équipes Offre et Marketing afin de créer, documenter, livrer et maintenir les outils attendus dans le cadre du suivi de la performance de nos offres commercialisées. Participer, en collaboration avec la MOA et les équipes métier à la mise en place des outils de pilotage de la qualité de données et à la mise en place de contrôles permettant de remonter des alertes dans le cadre de la politique de la qualité des données.

Effectuer si besoin des analyses visant à expliquer les raisons des écarts observés dans les livrables. Réaliser des analyses et études ad-hoc à destination de la Direction.",1.5,"aptic
1.5",Paris,De 1 à 50 employés,Travailleur indépendant,Ne sait pas / non applicable,-1,-1,-1
Data Scientist GCP / Freelance,35 k € - 40 k € (Esti. de Glassdoor),"As a Data Scientist on the Supply Chain Digital Platform you assure the development and integration of your data portfolio's products of the domain, so as each BU has the right business results at the right moment. You and your team advise product teams and provide them leadership and mentorship on technical projects in order to get them independent. In a strong international context, you work with Brazilian, Russian, French and other EU teams : - You create applied Machine Learning applications. - You gather datas for ML applications and build data marts for PoC.

You test statistical hypotheses and know the basis criteria. - You handle basic metrics and principles for assessing the quality of models and obtained from hypotheses. - You integrate ML applications into products in partnership with product teams. You have at least 4 years of experience in analytics and data science with Machine Learning : scikit-learn, numpy, pandas, plotly, matplotlib, seaborn.
Your knowledge of probability theory, mathematics and linear algebra allow you to read easily scientific articles and data science tools / libraries. You are skilled in Python and its classic set of libraries. You are able to develop API. You are familiar with SQL and relational DBMS at the user level.

You have experience in training gradient boosting models using one of the following libraries : Catboost, LightGBM, XGBoost. You have experience in deep learning as well. You are aware of MLOps challenges for ML in production.",3.7,"Groupe Kali
3.7",Lille,De 1 à 50 employés,Entreprise non cotée en bourse,Ne sait pas / non applicable,-1,-1,-1
Artificial Intelligence & Machine Learning Data Scientist,35 k € - 40 k € (Esti. de Glassdoor),"Artificial Intelligence & Machine Learning Data Scientist
Clamart - France

Job Title:
Artificial Intelligence & Machine Learning Data Scientist

Location:",3.8,"Schlumberger
3.8",Clamart,Plus de 10 000 employés,1926,Entreprise cotée en bourse,Services pétroliers et gaziers,"Pétrole, gaz, énergie et services publics",Plus de 10 milliards de dollars US
Senior Data Scientist,35 k € - 40 k € (Esti. de Glassdoor),"Contrat
CDI
Localisation
Paris La Villette
Référence
R-24282
Catégorie
Bureaux",3.5,"Club Med
3.5",La Villette,Plus de 10 000 employés,1950,Entreprise cotée en bourse,"Hôtels, motels et stations de tourisme",Voyages et tourisme,Entre 1 et 2 milliards de dollars US
DATA SCIENTIST,35 k € - 40 k € (Esti. de Glassdoor),"Date: 1 févr. 2022
Lieu: Venette, France
Entreprise: Plastic Omnium
Missions:
Contribute to the development of the Digital Manufacturing tools to improve the operational performance of the Plastic Omnium’s manufacturing plants.
Develop new digital solutions to improve the quality of the manufactured parts (fuel tanks). These digital solutions leverages the large amount of data collected in the manufacturing plants as well as the Machine Learning technology to improve the quality control and the performance of the production process.",3.7,"Plastic Omnium
3.7",Venette,Plus de 10 000 employés,1946,Entreprise cotée en bourse,Fabrication d''équipement de transport,Fabrication,Entre 5 et 10 milliards de dollars US
Data Scientist - Énergies Renouvelables,35 k € - 40 k € (Esti. de Glassdoor),"MP DATA est une société d'experts dans la Data qui accompagne ses clients industriels sur des projets d'IA ambitieux et innovants.
MP DATA, recrute un(e) Data Scientist (H/F) pour travailler pour ses clients dans le secteur des énergies renouvelables.
A ce titre, vos missions seront les suivantes :
- Manager les différents flux de données
- Développer des algorithmes de machine learning en Python
- Suivre et améliorer la performance de vos modèles",-1,MP DATA,Boulogne-Billancourt,-1,-1,-1,-1,-1,-1
Data Scientist,35 k € - 40 k € (Esti. de Glassdoor),"Licorne Society est à la recherche de Data Scientist pour des startups innovantes, ne laisse pas passer ta chance !
C’est quoi Licorne Society ?
Licorne Society est le seul outil qui te met en relation avec plus de 3000 startups recrutant en France, tous secteurs et métiers confondus. Qu’elles soient en création ou en phase d’hypercroissance, toutes les startups t’attendent sur Licorne Society. Ah oui, et c’est gratuit !
Notre promesse : faire matcher ta recherche avec les meilleures opportunités et mettre en avant ton profil auprès des startups qui recrutent.
>> www.licornesociety.com <<
L'inscription prend moins de 10 minutes. Tu pourras alors accéder à l'ensemble des offres en startup du marché et être contacté directement par les recruteurs :",-1,Licorne Society,Paris,De 1 à 50 employés,Entreprise non cotée en bourse,Ne sait pas / non applicable,-1,-1,-1
Senior Data Analyst,35 k € - 40 k € (Esti. de Glassdoor),"Your role @ Chanel
Chanel.com is the global CHANEL website for all Divisions and Regions, deployed in 60 markets. Fully redesigned and reengineered since 2016 by a team of 200 people in France and India. Visited over 1 billion times, its reason for being is to offer customers an experience, to tell stories creating desirability, to create a sense of exclusivity which enhance the image of the Brand. Chanel.com offers a rich range of online and omni-channel services, providing extended personalization capabilities, showcasing several collections and product categories, while ensuring brand consistency, seamless client journeys and presenting key values and principles of the brand and the company. It has generated 200+ million dollars in direct sales and much more, including countless indirect sales in boutiques.
In 2016, IPT’s team mission statement was to Today, Chanel.com is fully “in class” and becoming best in class by performing well on fundamentals, and by differentiating product presentations, enriching connected services, and providing unique content.",3.9,"Chanel
3.9",Neuilly,Plus de 10 000 employés,1924,Entreprise non cotée en bourse,"Magasins de chaussures, de vêtements et grands magasins",Vente au détail,Plus de 10 milliards de dollars US
Data Scientist,35 k € - 40 k € (Esti. de Glassdoor),"With over 5 million active users and an impressive 5,000 new customers joining every day, Lydia aims to become one of Europe’s leading financial services organisations. Founded in 2013, Lydia has been recognised as one of France’s most promising start-ups through its recent inclusion into the ""Next 40"" ranking.
After raising €112 million from investors in 2020, we have plans to accelerate our European deployment while continuing to offer additional innovative solutions. From top-security contactless mobile payment to a wide array of app-based services, Lydia puts people at the centre of the digital banking experience.

As part of the data-team, you will be in charge of creating, improving and maintaining services for end-users (Lydia's users or teammates) based on data manipulation and machine learning.",3.8,"Lydia Solutions
3.8",Paris,De 1 à 50 employés,Entreprise non cotée en bourse,Ne sait pas / non applicable,-1,-1,-1
Data Scientist - Documents Analysis,35 k € - 40 k € (Esti. de Glassdoor),"At Shift Technology, we're transforming insurance with AI. We help insurers fully automate more claims, deliver a great customer experience while protecting against risk and accurately identifying suspected fraud, making internal teams more effective and improving financial performance.
Since our launch in 2014 in Paris, we've raised over $320M with Tier 1 investors, opened offices in Boston, Tokyo, Singapore, London, Madrid, Mexico, Hong-Kong, and Sao Paulo, and currently work with more than 80 of the world's leading insurers. If you are excited about joining a fast-growing insurtech innovator with a passion for excellence and global culture, Shift is the place for you.",4.2,"Shift Technology
4.2",Paris,Entre 201 et 500 employés,2014,Entreprise non cotée en bourse,Solutions logicielles et réseau d''entreprise,Informatique,Ne sait pas / non applicable
Data Scientist M/F,35 k € - 40 k € (Esti. de Glassdoor),"Sanofi Vitry-sur-Seine est l’un des sites les plus innovants du Groupe, avec plus de 2 000 collaborateurs.
Doté d’un outil de production ultramoderne, le Biolaunch, le site maitrise à la fois les activités de recherche, de développement et de fabrication de produits de biotechnologies.
Les pathologies que nous traitons ? Le cancer, les maladies neurodégénératives et les maladies cardiovasculaires.
Le contenu du poste est libellé en anglais car il nécessite de nombreuses interactions avec nos filiales à l’international, l'anglais étant la langue de travail.",3.9,"Sanofi
3.9",Vitry,Plus de 10 000 employés,1973,Entreprise cotée en bourse,Biotechnologies et pharmaceutique,Biotechnologies et pharmaceutique,Plus de 10 milliards de dollars US
Data Scientist Recommendation Systems Confirmed,35 k € - 40 k € (Esti. de Glassdoor),"Our Mission
At Prose, we don’t believe in “one-size-fits-most.” We create custom hair care that’s inclusive to all hair types, needs and preferences. Each of our hair care products is customized to a person’s hair needs based on the results from an online consultation. The individual data is processed through a proprietary algorithm and made-to-order in the Prose lab using natural active ingredients. Marrying emerging technologies with the best in beauty, Prose is truly creating something special.
This is the opportunity to join a fast-growing startup and an energetic team that works together to deliver creative solutions that are transforming the way people think about and shop for hair care. We’re looking for talented problem solvers who lead with passion and who face any task with a positive mindset.",2.5,"PERSÉ BEAUTY
2.5",Paris,De 1 à 50 employés,2017,Franchise,"Santé, beauté et remise en forme",Services aux consommateurs,Ne sait pas / non applicable
Data Analyst (H/F),35 k € - 40 k € (Esti. de Glassdoor),"Position Description:
Vous cherchez à intervenir pour des sociétés Data Driven, vous êtes intéressé par la Business Intelligence, le Big Data, les approches Cloud, en étant impliqué dans les problématiques métiers et cas d’usages.
Vous avez envie de relever des challenges sur de la conception et de l’analyse de données sur des applications Big Data ou Cloud et dans des contextes Agile et innovants.
Your future duties and responsibilities:
Venez rejoindre nos équipes de Data Analyst. Vos interventions consisteront à recueillir les besoins des utilisateurs et les challenger si nécessaire.

Vous aurez en charge l’écriture des designs à destination de l’équipe de IS, les tests fonctionnels ainsi que la formation et l’accompagnement des utilisateurs.

Au sein de la communauté Data, vous êtes accompagné et pouvez échanger, partager et vous former selon vos inspirations et votre créativité. Cela vous permet d’être force de proposition en interne et auprès de nos clients.
La proximité, le suivi personnalisé de votre manager et un bon nombre d’événements tout au long de l'année renforcent la convivialité et notre esprit d'équipe !",4.0,"CGI Inc
3.3",Clermont-Ferrand,Plus de 10 000 employés,1976,Entreprise cotée en bourse,Conseils,Services aux entreprises,Plus de 10 milliards de dollars US
Data Scientist,35 k € - 40 k € (Esti. de Glassdoor),"Global Teams France

Paris, France

Media Production / Data & Insights / Engineering

Full-time
Company Description

We’re Adevinta, a global leader in digital marketplaces. Our household name brands, including marktplaats in The Netherlands, Mobile.de in Germany and leboncoin in France, reach hundreds of millions of people every month.

We’re all about matchmaking, and our sites help people find whatever they’re looking for in their local communities – whether it’s a car, an apartment, a sofa or a new job. Every connection made or item found makes a difference by creating a world where people share more and waste less.

Our brands are supported by global Tech Hubs in Barcelona, Amsterdam, Paris and Berlin. Their goal is to develop common global products and innovation platforms which all of our brands can use. This means using cutting edge technology to create highly scalable, customisable and secure products and components that free up development time and leverage our access to global data.

The Cognition team, based in Paris, is a multidisciplinary team of seven, gathering data scientists, data engineers and backend developers. The team owns over a dozen state of the art machine learning solutions, like the car/licence plate recognition service, that currently provides tens of millions of predictions to our marketplaces daily. The team is part of the Machine Learning Services Area, which is composed of three other teams who work together to make machine learning easy and impactful for all of Adevinta.

Job Description


Understand user needs and business opportunities and identify where Computer Vision Machine Learning can bring the greatest impact.

Develop machine learning models from scratch or fine-tune existing ones.

Train and test deep learning models.

Team work using Agile methodology and be part of the end-to-end process, collaborate with other profiles in the team.

Detect the data that may be useful in upcoming projects and verify whether this data already exists or needs to be tracked.

Deliver incremental work, following lean product development principles.

Share your knowledge with your colleagues to boost machine learning in Adevinta and strengthen our machine learning community.

Identify challenges and growth for business.

Qualifications

Experience in machine learning / deep learning in Computer Vision

Excellent command statistical analysis, modelling, clustering and data mining techniques to identify trends and insights

A solid knowledge in one of the main machine learning framework (TensorFlow, Keras, PyTorch)

Expertise with Python and some libraries like Sci-kit, pandas or numpy

Ability to write clean, production ready code

Proactive, team player, communicator and critical thinking

Proficiency in English is a must

Additional Information

What you’ll get from us

Competitive compensation package

A unique position in an international and dynamic environment

Opportunity to shape the way we work. Your feedback and opinions are valued at all levels of the organisation

The chance to be a key player in a growing, highly skilled team

Great colleagues and a healthy working environment

Benefits including private health insurance, stock purchase plan and bonus

Flexibility to work when and how you want - flexible hours, choose your phone and computer

Career development, including individual training budget and language classes

Lunch tickets

25 days holiday + 10/12 extra paid holidays called RTT

Summer bonus (=1% of base salary, paid in July)

Additional Information

Adevinta is an equal opportunity employer and values diversity in our company. We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status or disability status. If any of the above ticks your boxes, then why not Apply Now to find out more

Covid-19

The health of our employees is very important to us. Due to Covid-19 all of our employees currently have the option to work from home full-time or, depending on the local situation and government regulations, they may go into the office following all safety protocols. This means that our interviews are currently taking place virtually. We are reviewing the situation on a regular basis and want to ensure that we follow all governmental guidelines and put the health of our people first.",4.8,"Adevinta Group
4.8",Paris,De 5 001 à 10 000 employés,2019,Entreprise non cotée en bourse,Internet,Informatique,Ne sait pas / non applicable
