Job Title,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,Employer Provided,min salary,max salary,avg salary,State,Age,Python,R,SQL,Machine Learning,Big Data,Statistique,Math,Master,AWS
Google Data Scientist (H/F),"A propos d’Atos

Atos est un leader international de la transformation digitale avec 107 000 collaborateurs et un chiffre d’affaires annuel de plus de 11 milliards d’euros. Numéro un européen du cloud, de la cybersécurité et des supercalculateurs, le Groupe fournit des solutions intégrées pour tous les secteurs, dans 71 pays. Pionnier des services et produits de décarbonation, Atos s’engage à fournir des solutions numériques sécurisées et décarbonées à ses clients. Atos est une SE (Société Européenne) cotée sur Euronext Paris et fait partie des indices CAC 40 ESG et Next 20.

La raison d’être d’Atos est de contribuer à façonner l’espace informationnel. Avec ses compétences et ses services, le Groupe supporte le développement de la connaissance, de l’éducation et de la recherche dans une approche pluriculturelle et contribue au développement de l’excellence scientifique et technologique. Partout dans le monde, Atos permet à ses clients et à ses collaborateurs, et plus généralement au plus grand nombre, de vivre, travailler et progresser durablement et en toute confiance dans l’espace informationnel.


De formation type Bac+5 en école d’ingénieur ou équivalent

Bon niveau en Anglais requis


De formation type Bac+5 en école d’ingénieur ou équivalent

Expérience des codings game python, challenge kaggle,....

Expériences réussites dans les projets Data Science pour les grands comptes

Connaissance approfondie des algorithmes de Data Science et au moins une expérience réussie dans le développement d’un modèle de Machine Learning

Maîtrise des langages de traitement de données (R, SQL, Python, etc.)

Connaissance des technologies et services Cloud (GCP, Azure, AWS, etc.)

Aisance pour travailler sur des technologies on-premise (e.g. Hadoop, Scala) ou Cloud

Aisance pour travailler sur la plateforme de data science Dataiku

Forte curiosité technique et force de proposition dans la sélection des modèles

Excellentes capacités de communication, de storytelling et de vulgarisation pour partager les avancées techniques lors des réunions d’équipe

Rigueur, autonomie et capacité à travailler en équipe dans un environnement de travail exigeant

Expérience des projets en mode agile (backlog, sprint planning, sprint demo, etc.)


Expérience avec Google Cloud Platform, en particulier BigQuery

Connaissance des frameworks de deep-learning (e.g. TensorFlow)

Votre dynamisme et votre rigueur sont gages de réussite pour évoluer dans un nouveau poste. Vous avez l’esprit d'équipe, passionné(e) par les technologies de pointe, vous êtes autonome, rigoureux et avez le sens de la communication.

Chez Atos, nous voulons que nos employés se sentent valorisés, appréciés et libres d'être eux-mêmes au travail. Nos process RH sont conçus pour prévenir la discrimination envers l'identité ou l'orientation sexuelle, la religion, l’origine ethnique, l'âge, la neurodiversité, le handicap, la citoyenneté ou tout autre aspect qui rend nos collaborateurs uniques. Partout dans le monde, nous avons créé plusieurs programmes pour soutenir la culture inclusive d'Atos, et nous travaillons pour nous assurer que tous nos collaborateurs aient une chance égale de sentir qu'ils sont exactement là où ils doivent être.",3.6,"Atos
",Lille,Plus de 10 000 employés,1997,Entreprise cotée en bourse,Services informatiques,Informatique,Plus de 10 milliards de dollars US,0,0,35,40,37.5,Lille,25,1,1,1,1,0,0,0,0,1
Data Analyst (H/F),"France
Descriptif de poste
Venez exprimer vos talents IT chez Volvo Group ! Vous évoluerez au sein de l’équipe Data & Analytics qui attend avec impatience son/sa nouveau/nouvelle Data Analyst pour son site de Lyon.

La Data chez Volvo Group c’est quoi ?

C’est une entité au sein de Volvo Group Digital & IT dont le but est de libérer la puissance des données pour que l'ensemble du groupe devienne une entreprise entièrement « data driven » !

Avec l’équipe Data, nous concrétisons la vision 2030 du groupe Volvo. Nous nous occupons de tous les aspects de la data : qualité, documentation, mises à disposition, et visualisation via des outils de business Intelligence et de data science.

Nous avons devant nous une transformation ambitieuse, avec une mise en place de l’ensemble des solutions BI et data science sur Azure ainsi que le renforcement de la Data Governance et de la Data Management dans l'ensemble du Groupe.
250 personnes sont dédiées à la Data à travers le monde (Suède, Pologne, Belgique, US, Inde, France) dont une quarantaine de super équipiers en France



Au sein de nos équipes, vous êtes responsable en tant que Data Analyst de supporter l’implémentation de solutions BI & Advanced Analytics sur le périmètre Renault Trucks du groupe Volvo. Votre rôle est d’intervenir sur un portefeuille de projets et maintenances diversifiés :
Et bien sûr, vous bénéficierez de formations dédiées pour entretenir et développer vos compétences techniques et fonctionnelles.



Vous pensez data, vous rêvez data ? C’est un très bon début !",4.2,"Volvo Group
",Lyon,Plus de 10 000 employés,1927,Entreprise cotée en bourse,Fabrication d''équipement de transport,Fabrication,Plus de 10 milliards de dollars US,0,0,35,40,37.5,Lyon,95,0,1,0,0,0,0,0,0,0
ACTUAIRE / DATA SCIENTIST / STATISTICIEN - ASSURANCE NON-VIE (H/F),"Présentation de la société
Depuis 1971, nous imaginons, concevons et orientons les offres et services qui contribuent au développement de l’activité assurance du Crédit Mutuel, inventeur du concept de bancassurance.

Les Assurances du Crédit Mutuel sont présentes sur les marchés des assurances de biens, de personnes comme de l’assurance-vie, et nous proposons des solutions innovantes à tous ceux qui désirent se protéger et anticiper demain.
C’est notre philosophie pionnière, humaine et innovante qui guide nos actions et nos décisions. Loin de nous contenter d’assurer les risques auxquels font face nos assurés aujourd’hui, nous cherchons au quotidien à prévenir les risques futurs et à construire une assurance de demain plus juste.
Les Assurances du Crédit Mutuel, c’est plus de 3 700 talents au service de plus 13 millions d’assurés générant un chiffre d’affaires de 12,1 milliards d’euros ce qui nous place parmi les acteurs majeurs de l’assurance et de la protection sociale en France.

Rejoindre les Assurances du Crédit Mutuel, c’est rejoindre une entreprise dans laquelle l’humain et son potentiel passent avant tout. C’est rejoindre un groupe qui porte haut et fort ses valeurs, un groupe de pointe dans lequel les innovations servent l’humain et dont la réussite se mesure à la satisfaction de ses salariés et de ses assurés.

Aux Assurances du Crédit Mutuel, nos postes sont ouverts aux candidatures des personnes en situation de handicap.




































Société : ACM GIE | Réf. : A046422 | Date de publication : 22/02/2022",4.0,"ACM GIE
",Strasbourg,Plus de 10 000 employés,1882,Entreprise cotée en bourse,Banques et organismes de crédit,Finances,Plus de 10 milliards de dollars US,0,0,35,40,37.5,Strasbourg,140,0,1,0,0,0,0,0,0,0
Data Scientist (H/F) (IT),"Vous aurez donc les missions principales suivantes : 

 Analyse de l’existant et diagnostic sur la base des rapports existants

 Structuration et priorisation des étapes du projet Dashboard UX

 Identification des KPIs probants relatifs aux objectifs utilisateur et métier

 Conception du modèle de données de la Dataviz

 Animation des ateliers de conception des Dataviz

 Création du Dashboard UX

 Proposition des restitutions graphiques et visuelles pour améliorer le pilotage de l’activité UX dans l’outil de Dataviz

 Alimentation des données et enrichissement du Datamart

 Recensement des hypothèses identifiées

 Exploration des données pour confirmer ou infirmer les hypothèses relatives à l’expérience client

 Développement de la connaissance client par l’exploration des données et contribution à la création des Personae

 Formation et accompagnement des utilisateurs sur l’exploitation du Dashboard UX

 Contribution à la montée en compétences des équipes métiers",4.2,"CITECH
",Marseille,De 51 à 200 employés,2013,Cabinet / Société du secteur privé,Services informatiques,Informatique,Entre 1 et 5 millions de dollars US,0,0,35,40,37.5,Marseille,9,0,1,0,0,0,0,0,0,0
Data Analyst,"Participate in the definition and development of new concepts and tools used in the automatic processing and analysis of big data.
Report directly to the Dev lead and the project manager.
Gather and analyze customer requirements to propose solutions.
Analyze data documents
Do ontology modeling
Define modeling rules
Do documentation, architecture and automation",3.7,"umlaut AG
",Toulouse,De 1 001 à 5 000 employés,1996,Entreprise non cotée en bourse,Conseils,Services aux entreprises,Ne sait pas / non applicable,0,0,35,40,37.5,Toulouse,26,0,1,0,0,1,0,0,0,0
Blockchain Data Scientist,"Ledger is one of the fastest growing tech companies in France, part of the Next40, and already a global leader in crypto asset security. Within the Blockchain Analytics Department, the blockchain data scientist is in charge of extracting meaningful insights and recommendations from blockchain data to drive business & strategic decisions on both our consumer and our B2B business.

The Blockchain Data Scientist role requires a blend of data engineering and data science skills. In this role, you will use modern processing and statistical techniques to derive insights and recommendations in an ever-changing market.
In this role, you will:",4.6,"Ledger
",Paris,Entre 201 et 500 employés,2014,Entreprise non cotée en bourse,Matériel et logiciels informatiques,Informatique,Entre 50 et 100 millions de dollars US,0,0,35,40,37.5,Paris,8,0,0,0,0,0,1,0,0,0
Data Scientist F/H,"Data Scientist F/H
Ref. Apec : 167733002W
SAS RECHERCHES ET HORIZONS
1
CDI
Montpellier - 34
Publiée le 24/02/2022
Actualisée le 25/02/2022
Salaire
50 - 70 k€ brut annuel",4.9,"SAS RECHERCHES ET HORIZONS
",Montpellier,De 1 à 50 employés,2014,Entreprise non cotée en bourse,Recrutement et sous-traitance,Services aux entreprises,Ne sait pas / non applicable,0,0,35,40,37.5,Montpellier,8,0,1,0,0,0,0,0,0,0
Senior Data Scientist,"ABOUT ALORSFAIM
Founded in 2018 and headquartered in Paris, ALORSFAIM is a one-stop service platform that uses internet technology and big data as its core drivers to provide online restaurant takeaways, grocery delivery and other life services to consumers. Following our successful seed-round fundraising in 2021, our ambition is to becoming the most recognised brand for online superstore and food delivery service in the Asian community in Europe.
The members of our core leading team all graduated from elite European and American universities or engineering schools. They are skilled investors and serial entrepreneurs and have multiple international working experiences in the U.S., Europe and other countries.",-1.0,Alorsfaim,Thiais,-1,-1,-1,-1,-1,-1,0,0,35,40,37.5,Thiais,-1,0,1,0,0,1,0,0,0,0
#AGGP – Graduate Digital Master Data & Controlling Data Analyst (M/F),"Job Description:
Start date October 3rd 2022
Every year we look for university graduates from around the world to join Airbus. We need people with the aspiration, enthusiasm and the talent to help us move forward and to change the world and deliver our vision to pioneer sustainable aerospace for a safe and united world.
When you begin your career with us, we accelerate your development through our Airbus Global Graduate Experience. You are part of a 2 year programme where you develop your professional skills, build your networks, locally and internationally, and gain a unique perspective on the world of Airbus. You are part of a global community, so we bring you together once a year for a global graduate conference where you meet your peers, hear from our leaders and learn from the best.
We are hiring the graduates we need to fill the critical roles for our future.
AIRBUS SAS
Permanent Contract / CDI / Unbefristet / Contrato indefinido
Entry Level / Débutant / Anfänger / Recién titulado
Financial Expertise <JF-FI-FE>",3.9,"Airbus
",Toulouse,Plus de 10 000 employés,1970,Entreprise cotée en bourse,Aérospatiale et Défense,Aérospatiale et Défense,Plus de 10 milliards de dollars US,0,0,35,40,37.5,Toulouse,52,0,1,0,0,0,0,0,0,0
Data Scientist H/F,"Description de l'entreprise
Open Mind Neurotechnologies is a 5-year-old French startup dedicated to develop wellbeing and healthcare applications for the general public using virtual reality (VR), serious gaming and quantitative neurophysiology.
Our services offer a complete suite of assessments and personal development tools. It uses online psychometric questionnaires and serious games, as well as physiological and behavioral measurements taken during immersive experiences to quantify several dimensions of mental health in a dynamical approach.
Open Mind gathers a multidisciplinary team of 15 people:",-1.0,Open Mind Neurotechnologie,Paris,-1,-1,-1,-1,-1,-1,0,0,35,40,37.5,Paris,-1,0,1,0,0,0,0,0,0,0
Data analyst / Data scientist / Freelance,"Intitulé de la mission : Data analyst / Data scientist Contexte : En relation directe avec les traders et les développeurs des automates de trading. Mission : Traitement de données : - Import - Cleaning - Processing Prérequis : - Bonne connaissance techniques en Python (Pandas, Numpy, Sklearn, Tensorflow, Jupyter Notebook) et plus généralement solides bases IT et idéalement des connaissances en C# - Anglais/français - Capacité à comprendre rapidement les instruments financiers Bonds, swaps, futurs, options - Réactivité, capacité à s'intégrer à un environnement front office exigeant et à échanger directement avec les traders",-1.0,Ela Technology,Île-de-France,Inconnu,2017,Entreprise non cotée en bourse,-1,-1,-1,0,0,35,40,37.5,Île-de-France,5,1,1,0,0,0,0,0,0,0
Data Analyst / Freelance,"Poste : Data Analyst MISSIONS Edition des rapports de campagnes publicitaires (Excel) Analyse des données de campagnes publicitaires (résultats, KPI, insights...) Analyse des données du traffic on-site et lead (sessions, RDV ) Analyse des données user-centric (comportements utilisateurs) via ContentSquare et outil AB Testing Gestion de la data collectée au travers d'outils de gestion de leads et d'une nouvelle CDP. Recommandations trimestrielles sur l'amélioration de l'expérience digitale. PROFIL RECHERCHÉ Vous avez 3 + ans d'expérience Anglais écrit/oral (bon niveau) Vous aimez les tâches analytiques Vous êtes organisé.e et rigoureux.se Vous avez le goût de l'innovation Vous êtes à l'aise avec Excel Des connaissances ou certificats GA et ContentSquare sont essentielles Des connaissances sur AB Tasty, et/ou Kameleoon sont un plus Des connaissances VBA & SQL sont un plus",3.8,"SOFTEAM
",Paris,De 1 001 à 5 000 employés,1989,Entreprise non cotée en bourse,Services informatiques,Informatique,Entre 100 et 500 millions de dollars US,0,0,35,40,37.5,Paris,33,0,1,1,0,0,0,0,0,0
DATA ANALYST / Freelance,"Je recherche pour un de mes clients un Data Analyst Power BI Contexte de la mission : L'objectif principal de ce rôle sera de gérer la conception et la promotion de la performance rapports liés au KPI d'approvisionnement. Cette personne sera responsable de capturer les besoins en Business Intelligence de chaque rôle clé (Acheteurs, Responsables commerciaux, Contrôleurs Financiers) afin de les implémenter sur notre plateforme BI via PowerBI. Il devra ensuite organiser la formation et la promouvoir auprès de tous les utilisateurs. Elle / il supervisera également la livraison du développeur et les parties prenantes internes pour s'assurer que le différents tableaux de bord sont livrés dans les délais, à un niveau optimal de qualité des données.

Elle/il conduira adoption dans l'ensemble de l'organisation. Description de la mission : Cette personne est chargée de représenter la voix des clients (internes et externes), de créer une vision convaincante du produit et éclaircissement pour l'équipe de développement sur les actions à entreprendre Représente la voix des clients et crée ensemble une vision du produit de Business Intelligence avec les parties prenantes (peut nécessiter des déplacements fréquents et des réunions à travers nos siège local) Ordonne le Product Backlog en équilibrant la priorité, le risque, la valeur, les opportunités d'apprentissage et dépendances Comprend que la meilleure façon de transmettre l'information est la communication en face à face Démontre un sens aigu des affaires et une capacité à comprendre les modèles commerciaux Est bien informé et possède une connaissance fonctionnelle approfondie des produits et comprend les plateau technique Agit à différents niveaux. le Data Analyst doit savoir comment expliquer la stratégie produit à au niveau du conseil d'administration, créer un soutien au niveau de la gestion intermédiaire et motiver l'équipe de développement avec leurs défis quotidiens Est disponible pour les parties prenantes, les clients et l'équipe de développement Est un entrepreneur pour son produit, a un sens aigu des opportunités, se concentre sur les affaires la valeur et le retour sur investissement et agit de manière proactive sur les risques et menaces possibles Comprend les concepts BI et sait jouer avec les données. Dimension: Le poste est très international et nécessite de traiter avec de nombreuses parties prenantes Gère directement une équipe de 2 personnes (contractants/consultants externes) Compétences techniques : - Gestion fonctionnelle - AMOA/AMOE - Management fonctionnel - Chefferie de projet - Management fonctionnel - Business Analyst -POWERBI",3.2,"BEEZEN
",Paris,De 51 à 200 employés,2007,Entreprise non cotée en bourse,-1,-1,-1,0,0,35,40,37.5,Paris,15,0,1,0,0,0,0,0,0,0
Senior Data Scientist,"Contrat
CDI
Localisation
Paris La Villette
Référence
R-24282
Catégorie
Bureaux",3.9,"Club Med
",La Villette,Plus de 10 000 employés,1950,Entreprise cotée en bourse,"Hôtels, motels et stations de tourisme",Voyages et tourisme,Entre 1 et 2 milliards de dollars US,0,0,35,40,37.5,La Villette,72,0,1,0,0,0,0,0,0,0
Data Scientist M/F,"Sanofi Vitry-sur-Seine est l’un des sites les plus innovants du Groupe, avec plus de 2 000 collaborateurs.
Doté d’un outil de production ultramoderne, le Biolaunch, le site maitrise à la fois les activités de recherche, de développement et de fabrication de produits de biotechnologies.
Les pathologies que nous traitons ? Le cancer, les maladies neurodégénératives et les maladies cardiovasculaires.
Le contenu du poste est libellé en anglais car il nécessite de nombreuses interactions avec nos filiales à l’international, l'anglais étant la langue de travail.",4.1,"Sanofi
",Vitry,Plus de 10 000 employés,1973,Entreprise cotée en bourse,Biotechnologies et pharmaceutique,Biotechnologies et pharmaceutique,Plus de 10 milliards de dollars US,0,0,35,40,37.5,Vitry,49,0,0,0,0,0,0,0,0,0
Data Analyst (H/F),"Position Description:
Vous cherchez à intervenir pour des sociétés Data Driven, vous êtes intéressé par la Business Intelligence, le Big Data, les approches Cloud, en étant impliqué dans les problématiques métiers et cas d’usages.
Vous avez envie de relever des challenges sur de la conception et de l’analyse de données sur des applications Big Data ou Cloud et dans des contextes Agile et innovants.
Your future duties and responsibilities:
Venez rejoindre nos équipes de Data Analyst. Vos interventions consisteront à recueillir les besoins des utilisateurs et les challenger si nécessaire.

Vous aurez en charge l’écriture des designs à destination de l’équipe de IS, les tests fonctionnels ainsi que la formation et l’accompagnement des utilisateurs.

Au sein de la communauté Data, vous êtes accompagné et pouvez échanger, partager et vous former selon vos inspirations et votre créativité. Cela vous permet d’être force de proposition en interne et auprès de nos clients.
La proximité, le suivi personnalisé de votre manager et un bon nombre d’événements tout au long de l'année renforcent la convivialité et notre esprit d'équipe !",4.0,"CGI Inc
",Clermont-Ferrand,Plus de 10 000 employés,1976,Entreprise cotée en bourse,Conseils,Services aux entreprises,Plus de 10 milliards de dollars US,0,0,35,40,37.5,Clermont-Ferrand,46,0,0,0,0,1,0,0,0,0
Data Scientist - Demand Forecasting (H/F),"Nous recherchons un(e) Data Scientist spécialiste Prévision de la Demande (H/F)
Symphony RetailAI est un éditeur de progiciels spécialisés pour la grande distribution, fournisseur mondial leader de notre marché. Nos clients sont les enseignes de supermarchés, les fabricants et distributeurs de produits de grande consommation. https://www.symphonyretailai.com/
Nos solutions & progiciels permettent à nos clients de gérer toute leur chaîne logistique (gestion des commandes fournisseurs, mise en rayon magasin, gestion des stocks, des entrepôts, des promotions et des cartes de fidélité), et d’améliorer leurs prises de décisions et leur rentabilité. Nos solutions utilisent des technologies à la pointe de l’innovation et des dernières tendances de la tech (IA, machine learning, reconnaissance d’image, big data, technologies vocales…).",4.4,"Symphony RetailAI
",Paris,De 501 à 1 000 employés,1986,Entreprise non cotée en bourse,Solutions logicielles et réseau d''entreprise,Informatique,Ne sait pas / non applicable,0,0,35,40,37.5,Paris,36,0,1,0,1,1,0,0,0,0
Data Analyst - CDI,"Code de référence: 53426
Data Analyst - CDI
PARIS, 75, FR
Permanent
L’histoire de Cartier repose sur l'audace et la passion. Nous avons adopté un esprit pionnier et audacieux qui continue d’inspirer nos équipes, tous métiers confondus, de nos boutiques à nos ateliers et nos sièges sociaux depuis plus de 170 ans. Nous comptons plus de 8500 collaborateurs de 90 nationalités différentes qui partagent un esprit indépendant et un engagement envers l’excellence, et qui ont pour ambition d’enrichir en permanence l’héritage de la maison en repoussant les limites de la créativité.",3.7,"Cartier
",Paris,De 5 001 à 10 000 employés,1847,Entreprise non cotée en bourse,Autres magasins de détail,Vente au détail,Ne sait pas / non applicable,0,0,35,40,37.5,Paris,175,0,1,0,0,0,0,0,0,0
"Data Science Operations, Manager (F/H/NB)","Description de l'entreprise

Les équipes d’Ubisoft comptent 21 000 personnes réparties sur plus de 40 sites à travers le monde et sont liées par une mission commune : enrichir la vie des joueurs et des joueuses par des expériences de jeu originales et mémorables. Leur énergie et leur talent ont permis de donner vie à de nombreuses franchises acclamées telles que Assassin's Creed, Far Cry, Watch Dogs, Just Dance, Rainbow Six, et bien d'autres à venir.
Ubisoft est un employeur soucieux de l'égalité des chances et estime que la diversité des origines et des perspectives est essentielle pour créer des mondes qui permettent l’épanouissement et l’expression de tous et toutes. Si vous êtes enthousiaste à l'idée de relever des défis passionnants, exploiter des technologies de pointe, et prendre part au futur du divertissement, rejoignez-nous et créez l’inconnu.",3.9,"Ubisoft
",Paris,Plus de 10 000 employés,1986,Entreprise cotée en bourse,Jeux vidéo,Médias,Entre 2 et 5 milliards de dollars US,0,0,35,40,37.5,Paris,36,0,1,0,0,0,0,0,0,0
Data Scientist - AXA Climate (F/M) - PARIS,"Référence de l’offre
220001CA
Type de contrat
CDI
Niveau d'expérience
Expérimentés
Société du groupe
Non renseigné",4.3,"AXA
",Paris,Plus de 10 000 employés,1985,Entreprise non cotée en bourse,Sociétés d''assurance,Assurance,Entre 25 et 50 millions de dollars US,0,0,35,40,37.5,Paris,37,0,1,0,0,0,0,0,0,0
Data Analyst / Freelance,Data analyst pour une entreprise dans le secteur énergétique situé dans Paris Ouest. Vous serez en charge des indicateurs et du reporting pour la Supervision du Run Ses activités : Extractions quotidiennes / hebdomadaires / mensuelles de données de plusieurs systèmes d'information (sous excel) Croisement des données extraites / calcul des indicateurs o La connaissance des macro excel / VBA est un plus Identifications des indicateurs en écart au seuil / 1ère analyse = information vers le pilote pour action Envoi aux différents destinataires d'un Reporting (indicateurs) quotidien / hebdomadaire / mensuel Préparation des comités mensuels,4.2,"INFOTEL
",Paris,De 1 001 à 5 000 employés,1979,Services informatiques,Informatique,Entre 100 et 500 millions de dollars US,-1,0,0,35,40,37.5,Paris,43,0,1,0,0,0,0,0,0,0
Data Analyst Banques / Freelance,"Notre client Big Four, recherche pour un projet gagné sur la gestion d'actif immobilier un consultant Data analyste spécialisé en banque et crédit (immobilier de préférence). Contexte client final : L'entité vient de changer de Core Banking System et son passé sur un outil maison de grand groupe bancaire auquel ils sont affiliés. Les actifs immobiliers ne fonctionnant pas comme des crédits classique, l'outil du groupe a eu du mal à être adapté et Il y a eu beaucoup de dysfonctionnement à la suite de cette migration. Un projet d'adaptation a été lancé pour retrouver leur fonctionnement précédent tout en passant par ce nouvel outil.

Sujet concerné : Le sujet tourne autour du contrôle de gestion. L'entité cliente avait l'habitude de fournir des indicateurs de performance et de suivi qu'ils ne peuvent plus fournir facilement avec ce nouveau système. Il essaye alors d'établir et de reconstruire des tableaux d'indicateur (17 tableaux à l'époque). Il recherche donc quelqu'un qui sache plonger dans les bases de données, mais qui serait également force de proposition et capable de faire un travail de structure et de mapping.

- Minimum 3 ans d'expérience dont 1 année confirmée en banque (niveau senior consultant) - Bonne connaissance des outils de data Analytics et reporting (Excel, Power BI) - Capable de construire et de paramétrer des requêtes afin de fournir des indicateurs à la fréquence attendue - Connaissance des actifs immobilier serait un plus Modalités : - Ouest parisien (intra-muros) - TT 2 jours sur site - Démarrage ASAP - Durée 2 mois renouvelables (première visibilité sur 4 mois minimum)",3.8,"ALLEGIS GROUP
",Paris,Plus de 10 000 employés,1983,Entreprise non cotée en bourse,Recrutement et sous-traitance,Services aux entreprises,Plus de 10 milliards de dollars US,0,0,35,40,37.5,Paris,39,0,0,0,0,0,0,0,0,0
Data Analyst H/F,"Contexte de la mission :
Sur le marché Strasbourgeois nous sommes incontournables sur le secteur public, bancaire, de la protection sociale, des télécoms et de l’énergie.
La Business Unit Open Strasbourg c’est plus de 90 collaborateurs. Nous travaillons en direct chez nos clients Grands Comptes, dans leurs locaux, au sein de notre centre de services, ou en télétravail.
Venez rejoindre notre équipe !

Vous aurez la possibilité d'intervenir sur des missions au forfait mais aussi chez nos clients en régie dans un contexte agile.",3.7,"OPEN
",Strasbourg,De 1 001 à 5 000 employés,1989,Entreprise cotée en bourse,Services d''architecture et d''ingénierie,Services aux entreprises,Entre 100 et 500 millions de dollars US,0,0,35,40,37.5,Strasbourg,33,0,0,0,0,0,0,0,0,0
Data Analyst,"Pennylane is the all-in-one financial and accounting platform for business owners and their accountants. A single source of truth for financial data, used on one side by entrepreneurs to run their business (invoicing and getting paid, paying suppliers and expense management, piloting cash and profitability) and on the other side by their accountant for bookkeeping and tax declarations.

Saving time to all entrepreneurs and accountants, helping them to make the right decisions and enabling 3rd parties to offer added-value personalized financial services.

We’re product-led, growing fast, backed by strong investors and are starting to hire software engineers and data practitioners anywhere in Europe, to join our experienced remote-first tech team.",5.0,"Pennylane
",Paris,De 51 à 200 employés,2020,Entreprise non cotée en bourse,-1,-1,-1,0,0,35,40,37.5,Paris,2,0,0,0,0,0,0,0,0,0
Data Scientist - FRANFINANCE-(H/F),"Vos missions au quotidien
Au sein de la Direction Datascience Marketing et Modélisation de la Division du Financement aux Particuliers, qui produit et distribue des crédits et des services auprès de particuliers en direct ou par l’intermédiaire de partenaires (distributeurs, assureurs, banquiers et fintech), vous rejoignez le pôle Datascience et Risque en tant que Data Scientist.
Le Data Scientist aura la charge de :
Assurer et faire évoluer nos reportings distribués aux différentes directions de FRANFINANCE (risque, finance, recouvrement, marketing) et à nos partenaires",3.5,"Franfinance
",Nanterre,Plus de 10 000 employés,1864,Entreprise non cotée en bourse,Investissements bancaires et gestion d''actifs,Finances,Plus de 10 milliards de dollars US,0,0,40,45,42.5,Nanterre,158,0,1,0,0,0,0,0,0,0
Senior Data Scientist,"Contrat
CDI
Localisation
Paris La Villette
Référence
R-24282
Catégorie
Bureaux",3.7,"Club Med
",La Villette,Plus de 10 000 employés,1950,Entreprise cotée en bourse,"Hôtels, motels et stations de tourisme",Voyages et tourisme,Entre 1 et 2 milliards de dollars US,0,0,40,45,42.5,La Villette,72,0,1,0,0,0,0,0,0,0
Data Scientist F/H,"Description et profil
Le groupe Fnac-Darty accélère sa trajectoire dans la data et l’IA. Vous souhaitez mettre en oeuvre et développer vos compétences en data science sur des projets à fort impact dans un marché en évolution rapide ? Vous voulez travailler dans une équipe dynamique aussi passionnée que compétente et développer votre carrière ? Alors rejoignez-nous au sein du groupe Fnac-Darty ! Vous travaillerez sur des sujets tel que l'amélioration de l’expérience client et de l’efficience de nos interactions (service après-vente,…), l’optimisation de nos budgets promotionnels, le scoring d’appétence des utilisateurs, le churn, l’activation d’audiences, la personnalisation des parcours, la détection d’anomalies, etc…
Forts d’une implantation France + international, experts reconnus et marques appréciées, nous agissons sur une gamme de produits, de services et d’événements extrêmement large. Vous travaillerez sur des données très riches dans un environnement technologique à la pointe.
Profil : Ecole d’ingénieurs (Centrale, ENS, Mines, Ecole Polytechnique, etc…) en formation initiale, avec spé. en mathématiques / data science / machine learning. Qualités : rigueur, aisance relationnelle, fort esprit d’initiative, volonté d’aller au bout de vos idées, envie de comprendre les métiers du groupe + contribuer fortement à son développement par vos réalisations",3.5,"Siège Fnac Darty
",Ivry,Inconnu,2016,Entreprise cotée en bourse,-1,-1,-1,0,0,40,45,42.5,Ivry,6,0,0,0,1,0,0,1,0,0
Airbus Atlantic - Analyste décisionnel - Data Analyst - Industrie du Futur (H/F),"Job Description:
Vous êtes à la recherche d'un nouveau challenge ?
Vous avez la volonté d'être moteur dans le processus de transformation du secteur Aéronautique en vue de préparer l'avion de demain ? Rejoignez l'industrie du Futur Airbus Atlantic !
L'ambition est de préparer notre Industrie pour le futur avion décarboné en réponse aux enjeux environnementaux et de compétitivité que porte Airbus Atlantic.
Un poste de Data Analyst (H/F) vient de s'ouvrir au sein d'Airbus Atlantic, basé à Toulouse.
Vous rejoindrez le département Digital Transformation Office (DTO) pour travailler dans le cadre du programme « Industrie du Futur ». Notre activité s'axe autour de la data intelligence et de la digitalisation des processus industriels.


Airbus Atlantic
Permanent Contract / CDI / Unbefristet / Contrato indefinido
Professional / Expérimenté(e) / Professionell / Profesional
Information Mgmt and Digital Technology <JF-IM-DI>",3.9,"Airbus
",Toulouse,Plus de 10 000 employés,1970,Entreprise cotée en bourse,Aérospatiale et Défense,Aérospatiale et Défense,Plus de 10 milliards de dollars US,0,0,40,45,42.5,Toulouse,52,0,1,0,0,0,0,0,0,0
Data Scientist - FRANFINANCE-(H/F),"Vos missions au quotidien
Au sein de la Direction Datascience Marketing et Modélisation de la Division du Financement aux Particuliers, qui produit et distribue des crédits et des services auprès de particuliers en direct ou par l’intermédiaire de partenaires (distributeurs, assureurs, banquiers et fintech), vous rejoignez le pôle Datascience et Risque en tant que Data Scientist.
Le Data Scientist aura la charge de :
Assurer et faire évoluer nos reportings distribués aux différentes directions de FRANFINANCE (risque, finance, recouvrement, marketing) et à nos partenaires",3.9,"Franfinance
",Nanterre,Plus de 10 000 employés,1864,Entreprise non cotée en bourse,Investissements bancaires et gestion d''actifs,Finances,Plus de 10 milliards de dollars US,0,0,40,45,42.5,Nanterre,158,0,1,0,0,0,0,0,0,0
