,Job Title,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,Employer Provided,min salary,max salary,avg salary,State,Age,Python,R,SQL,Machine Learning,Deep Learning,Big Data,Statistic,Math,Master,AWS,SPARK,Job simplified,Seniority,job desc len
41,Data Scientist/Machine Learning/AI,"Travel Required: Less than 10%
Requisition Type: Regular
GDIT is your place. You make it your own by bringing your ideas and unique perspective to our culture. By owning your opportunity at GDIT, you are helping us ensure today is safe and tomorrow is smarter. Our work depends on a Data Scientist joining our team to support USPTO activities.
At GDIT, people are our differentiator. As a Data Scientist supporting USPTO, you will be trusted to work on Big Data Analytics.
Contributes to completion of specific programs and projects.
We are GDIT. The people supporting some of the most complex government, defense, and intelligence projects across the country. We deliver. Bringing the expertise needed to understand and advance critical missions. We transform. Shifting the ways clients invest in, integrate, and innovate technology solutions. We ensure today is safe and tomorrow is smarter. We are there. On the ground, beside our clients, in the lab, and everywhere in between. Offering the technology transformations, strategy, and mission services needed to get the job done.",3.9,General Dynamics Information Technology,Remote,10000+ Employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$2 to $5 billion (USD),0,1,112,168,140.0,Remote,26,0,1,0,0,0,1,0,0,0,0,0,data scientist,na,1081
42,Data Scientist,"Responsibilities:
Design of data science pipelines to ingest new data sources applying NLP processes to textual data, for example research abstracts and clinical trial documentation
Work with our existing data science team and models for research risk, peak sales predictions, and epidemiological datasets by engineering new features derived via NLP
Work with the broader Research & Development team to create improvements to our products and increase our data breadth and depth
Work with the data engineers to deploy new and existing models in AWS, suitable for production environments",4.2,MMIT Network,"Morrisville, PA",201 to 500 Employees,1994,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,0,0,76,138,107.0,Morrisville,28,0,1,0,0,0,0,0,0,0,1,0,data scientist,na,586
43,Data Scientist,"Dynamic’s client is seeking a Data Scientist for a permanent position in Greenwood Village, CO. This is a hybrid onsite/remote position.
Qualifications:
· 3+ years of relevant experience
· SQL
· R
· Python
· Machine Learning",-1.0,"Dynamic Placement Services, LLC","Greenwood Village, CO",Unknown,2020,Company - Pubic,-1,-1,-1,0,1,90,110,100.0,Greenwood Village,2,1,1,1,1,0,0,0,0,0,0,0,data scientist,na,224
44,Data Scientist,"Red Dot Storage is looking for a driven Data Scientist to join our Data Science team just outside Boulder, CO or remotely from Houston, TX
View the Job Posting",4.1,Red Dot Storage,"Houston, TX",51 to 200 Employees,2013,Company - Private,Real Estate,Real Estate,$1 to $5 million (USD),0,0,74,150,112.0,Houston,9,0,1,0,0,0,0,0,0,0,0,0,data scientist,na,159
45,Data Scientist,"Responsible for modeling complex business problems and discovering insights through the use of statistical, algorithmic, mining and visualization techniques. Communicates results clearly and concisely to provide insight to multiple audiences; provides strategic direction to senior management.

Essential Responsibilities

Data Wrangling/Exploration: Follow consistent practices to ensure data integrity and deal with imperfections in data. Champion the acquisition of new data sources to enhance value and fill gaps; automate collection processes; effectively process structured and semi-structured/unstructured data; proficiently integrate varied datasets; collaborate with business stakeholders as needed to ensure solid data understanding and proper data transformation; work cross-functionally with development and engineering teams; analyze large amounts of information to discover trends and patterns; draw conclusions and gain actionable insights.",3.8,Xcel Energy,"Denver, CO",10000+ Employees,1909,Company - Public,Utilities,"Oil, Gas, Energy & Utilities",$10+ billion (USD),0,1,83,118,100.5,Denver,113,0,1,0,0,0,0,1,0,0,0,0,data scientist,na,955
46,Data Scientist,"We are NYC based, but remote friendly unless specified. (US & Canada based candidates only)
Hello, World! Codecademy is on a mission to build inspiring careers in technology through engaging, accessible, and interactive online coding education.
Our learners have gone on to start new jobs, launch new companies, and lead new lives thanks to their work with Codecademy, and our platform has transformed the way businesses develop and retain their teams.
Since 2011, our team has grown to over 200 employees serving 50+ million learners from 190+ countries. We’ve raised over $82M in venture capital funding from top investors including Prosus, Owl Ventures, Union Square Ventures, Y Combinator, and more-which gives us the capital to get stuff done in an impactful way.",3.9,Codecademy,"New York, NY",201 to 500 Employees,2011,Company - Private,Education Training Services,Education,Unknown / Non-Applicable,0,0,86,165,125.5,New York,11,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,768
47,Data Scientist - Analytics,"Role Summary: Using your deep curiosity and desire to learn, you will focus on analytics and perform a variety of tasks related to cleaning and exploring new datasets, uncovering useful trends and observations in the data, while keeping in mind the business context and goals specific to the Client.
Acorn Analytics is a data science consultancy that helps clients of varying degrees of data maturity harness the power in their data to drive smarter decision-making. We are proactive communicators, upfront and candid!
Using your attention to detail and pride in your work, you will be responsible for:",-1.0,Acorn Analytics,Remote,1 to 50 Employees,2016,Company - Private,-1,-1,-1,1,1,100,100,100.0,Remote,6,0,1,0,0,0,0,0,0,0,0,0,data scientist,na,602
48,"CO-OP, DATA SCIENCE","INTERNS
CO-OP, DATA SCIENCE
Boston, Massachusetts, United States of America

SPEED & SPIRIT is what we look for in our candidates, defined by some simple values that inspire us to BE DRIVEN in our performance, BE VIBRANT in our sporting legacy, BE TOGETHER in our team spirit, and BE YOU to let our individual talent and experience shine. Applying for a job at PUMA is easy and all genders are welcome. Simply click APPLY ONLINE and follow the steps to upload your application.",4.0,PUMA,"Boston, MA",10000+ Employees,1948,Company - Private,"Department, Clothing, & Shoe Stores",Retail,$5 to $10 million (USD),0,0,69,164,116.5,Boston,74,0,1,0,0,0,0,0,0,0,0,0,,na,477
49,Data Scientist,"As Data Scientist working for Zipcar’s Revenue Management team you will be leading efforts to solve for complex theoretical problems including demand forecasting, price elasticity & member segmentation. Your research, analysis and modeling will be focused on achieving the challenging combination of improving both the member experience as well as financial performance. As the cities we operate in change and our member’s preferences evolve it is your job to help shape the future of Zipcar and our product offering.
What you will do:
Lead the development of Zipcar’s member demand forecasting model which powers downstream decisions including pricing, availability, and fleet.",3.8,"Zipcar, Inc.","Boston, MA",201 to 500 Employees,2000,Subsidiary or Business Segment,Car Rental,Travel & Tourism,$100 to $500 million (USD),0,0,92,169,130.5,Boston,22,0,1,0,0,0,0,0,0,0,0,0,data scientist,na,678
50,Machine Learning Scientist,"Our mission is to help people everywhere find a job and company they love. We're transforming the workplace experience through the power of transparency. As the worldwide leader in employer branding and insights, our vision is for a world where transparency empowers the workforce and motivates companies to become better employers.
Please note this role is open to remote hiring. Our main office locations are in San Francisco, CA, Chicago, IL and Uniontown, OH.
You will be part of a highly talented team of machine learning engineers and data scientists, using the latest machine learning technologies to improve Glassdoor's products on user generated content, such as company reviews and interview questions.",4.0,Glassdoor,"San Francisco, CA",501 to 1000 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,0,1,129,194,161.5,San Francisco,15,0,0,0,1,0,0,0,0,0,0,0,ml engineer,na,712
51,Data Scientist,"Department Summary DISH Media connects brands with consumers across DISH and Sling TV through industry-leading addressable and programmatic advertising.We provides smart and effective media solutions that complement those of traditional national cable. DISH Media is here to help you make a real impression. The DISH Network family is committed to offering the highest-quality entertainment and most advanced technology all at an unbeatable value. Based out of New York City, with offices in Chicago, Denver and Los Angeles, our team is an innovative, passionate and fun group working hard and finding reward in the radically changing TV advertising landscape. Job Duties and Responsibilities The Data & Analytics team within Media Sales works closely with the corporate DISH Viewer Measurement team to combine powerful household level reporting data, analytics and expertise that helps our sales staff succeed in a rapidly evolving environment. Constructing automated processes through scripting languages, using data to identify and create models of an advertiser’s target audience, measuring the success of an advertiser’s campaign and providing visualization through self-service tools are just a few of the day to day tasks this team is responsible for. We are now seeking a Data Scientist that will support the on-air addressable Media Sales team and Data Sales efforts through: Strong Data Science Stack (e.g. R, Python, SQL, producing visualizations in Tableau, etc.) Developing critical analytics and propensity models using key DISH data sources including the viewer measurement data and DISH CRM data. Working with the Account Executives and clients to develop client proposals based on conducted research. Demonstrating thought leadership by writing papers, attending conferences and promoting yourself as subject matter expert on topics such subscriber and network viewership trends. Developing key relationship with Analytics heads at advertising agencies, data partners, internal divisions and other key industry players. Architect and develop new advertising products using state of the art machine learning algorithms either in a big data environment such as Hadoop or in a cloud-based environment such as AWS. Skills, Experience and Requirements A successful Data Scientist Requirements: Bachelor’s Degree from a four-year college or university; advanced degree in a STEM field preferred. AWS Certification highly valued. 3-5 years of working experience utilizing data modeling techniques. Familiarity with big data projects, tools, and technique, segmentation and ad targeting. Experience with SQL and scripting tools; willingness to be hands on where needed. Excellent communication skills and have the proven ability to manage multiple projects and meeting deadlines. Experience working with IT and / or DBAs in respect to projects involving large databases. Strong work ethic; personable and must be able to prioritize tasks and deliverables in a fast-paced Sales environment. #LI-JS7 Salary Range Compensation: $76,300.00/Year - $100,550.00/Year Benefits From versatile health perks to new career opportunities, check out our benefits on our careers website. Candidates need to successfully complete a pre-employment screen, which may include a drug test.",3.1,DISH,"New York, NY",10000+ Employees,1980,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),0,1,101,101,101.0,New York,42,1,1,1,1,0,1,0,0,0,1,0,data scientist,na,3278
52,Data Scientist I,"Data Scientists are responsible for making value out of data. This role will proactively obtain information from various sources and analyze it for better understanding about how the business performs, and to build AI tools that automate certain processes within the company.
The duties of Data Scientist positions within the Data Analytics group include creating various machine learning-based tools or processes within NYPA, such as recommendation engines or automated lead scoring systems. The positions within this group also have a wide range of technical competencies including: statistics and machine learning, coding languages, databases, machine learning, and reporting technologies.",3.7,New York Power Authority,"White Plains, NY",1001 to 5000 Employees,1931,Government,Energy,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),0,0,79,150,114.5,White Plains,91,0,0,0,1,0,0,1,0,0,0,0,data scientist,na,692
53,Data Scientist,"About Gap Inc.
Our brands bridge the gaps we see in the world. Old Navy democratizes style to ensure everyone has access to quality fashion at every price point. Athleta unleashes the potential of every woman, regardless of body size, age or ethnicity. Banana Republic believes in sustainable luxury for all. And Gap inspires the world to bring individuality to modern, responsibly made essentials.
This simple idea—that we all deserve to belong, and on our own terms—is core to who we are as a company and how we make decisions. Our team is made up of thousands of people across the globe who take risks, think big, and do good for our customers, communities, and the planet. Ready to learn fast, create with audacity and lead boldly? Join our team.",3.7,Gap Inc.,"San Francisco, CA",10000+ Employees,1969,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),0,0,96,173,134.5,San Francisco,53,0,1,0,0,0,0,0,0,0,0,0,data scientist,na,750
54,Data Science Co-Op,"At Bristol Myers Squibb, we are inspired by a single vision – transforming patients’ lives through science. In oncology, hematology, immunology and cardiovascular disease – and one of the most diverse and promising pipelines in the industry – each of our passionate colleagues contribute to innovations that drive meaningful change. We bring a human touch to every treatment we pioneer. Join us and make a difference.
Position Summary
Leads discovery and optimization (LDO) is a diverse group of scientists and engineers, providing critical assay information to therapeutic research centers (TRCs) throughout research and early development (R&ED). We are seeking a highly motivated and innovative co-op scientist to join the data science and advanced analytics team within LDO. Team objectives include the development of machine learning, data science models and analytical tools to improve operational efficiencies, increase the impact of data packages, and improve data analysis capabilities.",3.9,Bristol Myers Squibb,"Princeton, NJ",10000+ Employees,1858,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,75,144,109.5,Princeton,164,0,1,0,1,0,0,0,0,0,0,0,,na,994
55,Data Scientist II,"The Cyber and Intelligence Platform Data Science team is responsible for creating deep learning Artificial Intelligence (A.I.) and Machine Learning (M.L.) models. The models generated are production ready and created to back specific products in Mastercard’s authentication and authorization networks. The Data Science team is also responsible for developing automated processes for creating models covering all modeling steps, from data extraction up to delivery. In addition, the processes are must be designed to scale, to be repeatable, resilient, and industrialized.

You will be joining a team of Data Scientists working on innovative A.I. and M.L. fraud detection and anti-money laundering solutions. Our innovative cross-channel AI solutions are applied in Fortune 500 companies in industries such as fin-tech, investment banking, biotech, healthcare, and insurance. We are pursuing a highly motivated individual with strong problem-solving skills to take on the challenge of structuring and engineering data and cutting-edge A.I. model evaluation and reporting processes.

Role
As a Data Scientist, you will:



All About You

Essential Skills:
o Spark ML
o TensorFlow
o Scikit Learn

Nice to have:
In the US, Mastercard is an inclusive Equal Employment Opportunity employer that considers applicants without regard to gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law. If you require accommodations or assistance to complete the online application process, please contact reasonable_accommodation@mastercard.com and identify the type of accommodation or assistance you are requesting. Do not include any medical or health information in this email. The Reasonable Accommodations team will respond to your email promptly.",4.2,MasterCard,"O'Fallon, MO",10000+ Employees,1966,Company - Public,Financial Transaction Processing,Finance,$5 to $10 billion (USD),0,0,88,160,124.0,O'Fallon,56,0,1,0,1,1,0,0,0,1,0,1,data scientist,na,1815
56,"CO-OP, DATA SCIENCE","INTERNS
CO-OP, DATA SCIENCE
Boston, Massachusetts, United States of America

SPEED & SPIRIT is what we look for in our candidates, defined by some simple values that inspire us to BE DRIVEN in our performance, BE VIBRANT in our sporting legacy, BE TOGETHER in our team spirit, and BE YOU to let our individual talent and experience shine. Applying for a job at PUMA is easy and all genders are welcome. Simply click APPLY ONLINE and follow the steps to upload your application.",4.5,PUMA,"Boston, MA",10000+ Employees,1948,Company - Private,"Department, Clothing, & Shoe Stores",Retail,$5 to $10 million (USD),0,0,69,164,116.5,Boston,74,0,1,0,0,0,0,0,0,0,0,0,,na,477
57,Data Scientist,"At Jellyfish, we build software that helps engineering teams measure their development efforts and improve strategic decision-making.
As a member of Jellyfish Research, you will work to build innovative new products and features that leverage our platform's unique data about how engineers plan, develop, collaborate on, and deploy software. You will have the opportunity to create systems and services that produce rich insights, which impact how our customers understand and guide their own development teams and the software they build.
Most importantly, you will be part of a highly talented team working in a fun, challenging, and collaborative environment, building a fast-growing business and company led by experienced entrepreneurs and backed by top-tier investment partners.
As Data Scientist for Jellyfish Research, you will:",4.9,Jellyfish,"Boston, MA",51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,78,161,119.5,Boston,5,0,1,0,0,0,0,0,0,0,0,0,data scientist,na,836
58,Data Scientist,"It's fun to work in a company where people truly BELIEVE in what they're doing!
We're committed to bringing passion and customer focus to the business.
Data Scientist
If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!",3.3,Grand Casino,"Onamia, MN",1001 to 5000 Employees,1991,Company - Private,Gambling,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,0,0,58,124,91.0,Onamia,31,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,277
59,Data Scientist,"As Data Scientist working for Zipcar’s Revenue Management team you will be leading efforts to solve for complex theoretical problems including demand forecasting, price elasticity & member segmentation. Your research, analysis and modeling will be focused on achieving the challenging combination of improving both the member experience as well as financial performance. As the cities we operate in change and our member’s preferences evolve it is your job to help shape the future of Zipcar and our product offering.
What you will do:
Lead the development of Zipcar’s member demand forecasting model which powers downstream decisions including pricing, availability, and fleet.",3.8,"Zipcar, Inc.","Boston, MA",201 to 500 Employees,2000,Subsidiary or Business Segment,Car Rental,Travel & Tourism,$100 to $500 million (USD),0,0,92,169,130.5,Boston,22,0,1,0,0,0,0,0,0,0,0,0,data scientist,na,678
60,"Data Scientist, Music Partnerships","Data, Research & Insights
Data Science
Spotify’s mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the opportunity to enjoy and be inspired by these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service with a community of more than 381 million users. We are looking for an outstanding Data Scientist to join the band and build core analytics to support our Music Partnerships teams, meaning the teams at Spotify who interface with record labels, music publishers, artists and songwriters.
Location",4.2,Spotify,"New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,0,0,77,169,123.0,New York,16,0,1,0,0,0,0,0,0,0,0,0,data scientist,na,696
61,Data Science Co-Op,"At Bristol Myers Squibb, we are inspired by a single vision – transforming patients’ lives through science. In oncology, hematology, immunology and cardiovascular disease – and one of the most diverse and promising pipelines in the industry – each of our passionate colleagues contribute to innovations that drive meaningful change. We bring a human touch to every treatment we pioneer. Join us and make a difference.
Position Summary
Leads discovery and optimization (LDO) is a diverse group of scientists and engineers, providing critical assay information to therapeutic research centers (TRCs) throughout research and early development (R&ED). We are seeking a highly motivated and innovative co-op scientist to join the data science and advanced analytics team within LDO. Team objectives include the development of machine learning, data science models and analytical tools to improve operational efficiencies, increase the impact of data packages, and improve data analysis capabilities.",3.9,Bristol Myers Squibb,"Princeton, NJ",10000+ Employees,1858,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,75,144,109.5,Princeton,164,0,1,0,1,0,0,0,0,0,0,0,,na,994
62,Data Scientist I,"JOB SUMMARY:
Professional position, which writes software utilizing analytics and machine learning to the achieve business goals and objectives of the company. Works under immediate supervision. Demonstrates clear and working knowledge and concepts of software development, data science and learning algorithms. Responsible for the internal application programming and analysis of requirements using various technologies.
ESSENTIAL FUNCTIONS:
At Safety National, we live by the following five core values: Relationships, Integrity, Teamwork, Balance and Stability. Our Core Values serve as the fundamental foundation of our corporate culture and drive our interactions, both internally and externally. An essential function of all Safety National positions is to fully embrace and represent these core values in our daily work life and relationships.
Demonstrates up-to-date expertise in Software Engineering and applies this to the development, execution, and improvement of action plans with supervision by the Senior Data Scientists or Supervisor.
Implements most recent algorithms and approaches for machine learning in collaboration with our data analysts, actuaries, claims experts and underwriters with supervision by the Senior Data Scientists or Supervisor.
Assists more experienced and/or Senior Data Scientists in designing best architecture and selecting the most appropriate modeling techniques and data visualization for big data analysis.
Participates in projects in the area of prediction, optimization, and processes using advanced statistical / mathematical approaches, in the enterprise environment under supervision of Senior Data Scientists.
Responsible for timely achievement of milestones and project completion.",3.7,Safety National,"February, TN",201 to 500 Employees,1942,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),0,0,60,115,87.5,February,80,0,1,0,1,0,1,1,1,0,0,0,data scientist,na,1735
63,Data Scientist,"WHY JOIN THE TEAM?

Would you like to play an integral role in the transformation of our decision-making processes through the development of data-driven solutions?

We are searching for an innovative individual to enhance our team as we build a comprehensive analytical platform from the ground up. With varying expertise among our members, this transformation expands over many facets including database architecture, visualization, machine learning, and experimentation methodologies. Join the opportunity to revolutionize the way we conduct business and make a lasting impact for BRP.

YOUR KEY RESPONSIBILITIES

Lead and advise the team in causal analytics

Quickly learn and deploy appropriate data science tools, with tasks including experimental design and analysis, optimization, and machine learning

Create and operate causal experiments to help improve the performance of our analytic platform

Perform and communicate quantitative analysis and research in a clear, precise, and actionable manner

Challenge the status quo of how we analyze the business

YOUR QUALIFICATIONS AND SKILLS

Degree in a discipline that uses mathematical analysis OR equivalent experience in the industry

An ideal candidate will have a strong research background in causal inference with substantial experience applying modern machine learning and statistics

Experience with implementing causal inference methods such as

Propensity Scoring

Matching

Difference-in-differences

Phased Roll-outs

Experience with implementing experimentation methods such as

A/B Testing

Random Sampling

Stratified Random Sampling

Power Calculations

Strong proficiency with Python / R and SQL

Highly motivated to work in an open team environment, employing a collaborative, continuous improvement, and innovation mindset

Excellent communication skills, both written and verbal, with the capability to manage information, data, and correspondence on multiple levels

Strong interpersonal skills with demonstrated ability to work independently and cross-functionally with stakeholders at multiple levels

STAND OUT WITH…

Experience with cloud-based computing services including Azure Data Factory and Snowflake

WELCOME TO BRP

We’re a world leader in recreational vehicles and boats, creating innovative ways to move on snow, water, asphalt, dirt and even in the air. Headquartered in the Canadian town of Valcourt, Quebec, our company is rooted in a spirit of ingenuity and intense customer focus. Today, we operate manufacturing facilities in Canada, the United States, Mexico, Finland, Australia and Austria, with a workforce of over 14,500 spirited people, all driven by the deeply held belief that at work, as with life itself, it’s not about the destination; It’s about the journey. Yours.

www.brp.com.

•

•

•

BRP US Inc. is an Equal Opportunity/ Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, or protected Veteran status.

#LI-CD1",4.2,BRP,"Plano, TX",10000+ Employees,1937,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$2 to $5 billion (USD),0,0,73,138,105.5,Plano,85,1,1,1,1,0,0,1,1,0,0,0,data scientist,na,3034
64,Data Scientist I,"Data Scientists are responsible for making value out of data. This role will proactively obtain information from various sources and analyze it for better understanding about how the business performs, and to build AI tools that automate certain processes within the company.
The duties of Data Scientist positions within the Data Analytics group include creating various machine learning-based tools or processes within NYPA, such as recommendation engines or automated lead scoring systems. The positions within this group also have a wide range of technical competencies including: statistics and machine learning, coding languages, databases, machine learning, and reporting technologies.",3.7,New York Power Authority,"White Plains, NY",1001 to 5000 Employees,1931,Government,Energy,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),0,0,79,150,114.5,White Plains,91,0,0,0,1,0,0,1,0,0,0,0,data scientist,na,692
65,Data Scientist,"Description
SHIFT: Day Job

SCHEDULE: Full-time

Location: This position eligible for full time remote schedule. Location within 50 miles of an Anthem office; preferred locations are Atlanta, GA, Indianapolis, IN, NY, and NJ. All other locations will be considered.
Your Talent. Our Vision. At Anthem, Inc., it's a powerful combination, and the foundation upon which we're creating greater access to care for our members, greater value for our customers, and greater health for our communities. Join us and together we will .",3.7,Anthem,"New York, NY",10000+ Employees,2004,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD),0,0,74,133,103.5,New York,18,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,525
66,Data Scientist,"Company Description

Why MMIT? At MMIT (https://www.mmitnetwork.com/), we provide our healthcare clients with a transparent, structured view of complex drug coverage information. We are a company that values:
Collaborative teams focused on meeting goals and delivering value
Continuous learning and opportunity to grow
We answer the “what” and the “why” related to drug coverage and reimbursement, leveraging technology, research and industry experts to make sense of how and why specific pharmaceutical drugs are covered. Physicians and pharmacies use our data and applications to understand what drugs are available to patients and how they are covered by health plans. Pharmaceutical manufacturers trust our data to understand how their drug and competitive drugs are covered, which helps forecast performance and tune strategy.",4.2,MMIT,"Yardley, PA",201 to 500 Employees,1994,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,0,0,75,137,106.0,Yardley,28,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,831
67,Data Scientist,"JOB SUMMARY & RESPONSIBILITIES:
Analyze structured and unstructured data to understand how our customers interact with our product and service offerings
Proactively identify opportunities to improve the experience of businesses users and end clients that can become a value driver
Perform the design, analysis, and interpretation of projects from data requirement gathering to data processing, modeling, and recommendations
Partner with cross-functional teams to identify new opportunities requiring the use of modern analytical and modeling techniques",-1.0,AjaxMinerals,"Chicago, IL",-1,-1,-1,-1,-1,-1,0,1,100,120,110.0,Chicago,-1,0,1,0,0,0,0,0,0,0,0,0,data scientist,na,552
68,Data Scientist,"Location: Corning, NY, US, 14831
Company: Corning
Requisition Number: 52661

Corning is the world leader in specialty glass and ceramics, building and manufacturing keystone components that enable high-technology systems. Corning’s history is filled with breakthrough technologies that have played a meaningful role in the way the world works. We thrive on solving difficult, commercially relevant problems through a creative and collaborative research and development process.",3.9,Corning,"Corning, NY",Unknown,1851,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,Unknown / Non-Applicable,0,0,89,170,129.5,Corning,171,0,1,0,0,0,0,0,0,0,0,0,data scientist,na,477
69,Data Scientist,"Data Scientist
Boston – US
Competitive salary plus bonus / benefits
TECH STACK: SQL, ElasticSearch, C#
This is an exciting opportunity to join one of the fastest growing Insurtech innovators as a Data Scientist. This is a hands-on role where you will be responsible for delivering a wide range of new products and services that will be directly used by their end clients.
ABOUT THE COMPANY
This organisation transforms insurance with the power of AI, allowing teams to be more efficient and improve their financial performance. They have offices worldwide and work with the world’s leading insurers. This is a unique opportunity for the successful candidate to accelerate their career and work in a fast-growing company, with the offering of progression. Your achievements will have a direct impact on the overall performance of the company.",-1.0,Dataworks,"Boston, MA",1 to 50 Employees,2021,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),0,1,100,150,125.0,Boston,1,0,0,1,0,0,0,0,0,0,0,0,data scientist,na,841
70,Data Scientist,"Job Description:
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques",4.7,Kattech Systems Inc,"Arlington Heights, IL",Unknown,2016,Consulting,Business Services,Unknown / Non-Applicable,-1,0,1,105,118,111.5,Arlington Heights,6,0,1,0,0,0,0,0,0,0,0,0,data scientist,na,380
71,Data Scientist,"Location: Deforest, Wi or Remote
Country: US
The role:
The Data Scientist performs data analysis to extract knowledge or insight from structured or unstructured data. He or she applies advanced statistical algorithms for analysis of large-scale, complex datasets to accelerate insights and discovery in R&D projects. He or she keeps up to date with cutting-edge techniques in programming, machine learning, big data, and biological modelling.",3.0,IntelliGen Technologies,DeForest,Unknown,1996,Company - Pubic,-1,-1,-1,0,0,66,116,91.0,DeForest,26,0,1,0,1,0,1,1,0,0,0,0,data scientist,na,442
72,Data Scientist,"About Lark
Lark is the world's largest A.I. healthcare provider, servicing nearly 2 million patients living with or at risk of a chronic disease. Lark is a companion app on the user's phone providing real-time coaching, guidance, and health insights to users. We are on a mission to disrupt the healthcare industry and make the world a healthier, happier place. Come join our team!
The Role
We are looking for talented individuals who have post graduate working experience as a Data Scientist to join our growing team! In this role you'll work with the data, product, and business teams to analyze user behavior cohorts, and give recommendations on the best action to take for improving outcomes for our users, and for the business.",4.4,Lark Health,California,51 to 200 Employees,2011,Company - Private,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD),0,1,127,127,127.0,California,11,0,1,0,0,0,0,0,0,0,0,0,data scientist,na,732
73,Data Scientist - Analytics,"Role Summary: Using your deep curiosity and desire to learn, you will focus on analytics and perform a variety of tasks related to cleaning and exploring new datasets, uncovering useful trends and observations in the data, while keeping in mind the business context and goals specific to the Client.
Acorn Analytics is a data science consultancy that helps clients of varying degrees of data maturity harness the power in their data to drive smarter decision-making. We are proactive communicators, upfront and candid!
Using your attention to detail and pride in your work, you will be responsible for:",-1.0,Acorn Analytics,Remote,1 to 50 Employees,2016,Company - Private,-1,-1,-1,1,1,100,100,100.0,Remote,6,0,1,0,0,0,0,0,0,0,0,0,data scientist,na,602
74,Data Scientist,"Responsibilities:
Design of data science pipelines to ingest new data sources applying NLP processes to textual data, for example research abstracts and clinical trial documentation
Work with our existing data science team and models for research risk, peak sales predictions, and epidemiological datasets by engineering new features derived via NLP
Work with the broader Research & Development team to create improvements to our products and increase our data breadth and depth
Work with the data engineers to deploy new and existing models in AWS, suitable for production environments",4.2,MMIT Network,"Morrisville, PA",201 to 500 Employees,1994,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,0,0,76,138,107.0,Morrisville,28,0,1,0,0,0,0,0,0,0,1,0,data scientist,na,586
75,Data Scientist : 22-01058,"Primary Skills: Data Scientist, SQL, Python, Hadoop, Apache, Spark
Contract Type: W2
Duration: 6+ months of contract
Location: 100 % Remote

NOTE: Role open for Women Back to Work candidates with a career gap

To follow up with any questions, please contact Khyati Pandya - (408) 907-5711

Are you seeking a job that’s 100% remote?

JOB RESPONSIBILITIES:



Akraya is an award-winning IT staffing firm and the staffing partner of choice for many leading companies across the US. Akraya was recently voted as a by Staffing Industry Analysts and voted by our employees and consultants as a .",4.8,Akraya Inc.,"San Francisco, CA",201 to 500 Employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),0,0,89,194,141.5,San Francisco,21,1,1,1,0,0,0,0,0,0,0,1,data scientist,na,589
